Leader,Follower,Shift,Correlation
NSC,AVGO,15,0.8474418358003364
NSC,AVGO,25,0.8384710433565695
AVGO,COF,5,0.8296184965272269
AVGO,COF,15,0.8302150696900261
AVGO,COF,25,0.7214546242759038
COF,AVGO,5,0.8532056714409223
COF,AVGO,15,0.7852374605607312
COF,AVGO,25,0.7417492800689198
REGN,PEP,5,0.740653922369534
REGN,PEP,15,0.7343784222487822
REGN,PEP,25,0.7274203611634492
KO,ABT,5,0.8057846178807597
KO,ABT,15,0.8091651203340078
KO,ABT,25,0.7026456158877238
KO,PM,5,0.8436455757594887
KO,PM,15,0.7259177046114306
PM,KO,5,0.879597723944704
PM,KO,15,0.8498336613157681
PM,KO,25,0.8321633509519406
AMT,KO,5,0.7606777514241377
AMT,KO,15,0.75214550415943
AMT,KO,25,0.7050710852779529
MDLZ,KO,5,0.7333808568450533
MDLZ,KO,15,0.7532310605721506
KO,T,5,0.7967838100084655
KO,T,15,0.7129732134084077
T,KO,5,0.8307769365640276
T,KO,15,0.8147069245542172
T,KO,25,0.7799131445635886
KO,CME,5,0.8355066057403466
KO,CME,15,0.7565590911294336
CME,KO,5,0.8548831205983243
CME,KO,15,0.8598465210977387
CME,KO,25,0.8569093518948436
MRK,DHR,5,0.8517408842822906
MRK,DHR,15,0.7014619473833585
MRK,DHR,25,0.7134102634185566
CRM,MRK,5,0.7423681614395439
CRM,MRK,15,0.7472930763317762
CRM,MRK,25,0.720498563603761
TMO,MRK,5,0.7716121456720184
TMO,MRK,15,0.708111821828621
UPS,MRK,5,0.7587361235813418
UPS,MRK,15,0.7152784052711921
MRK,REGN,5,0.8136475826374817
MRK,REGN,15,0.7670743704631252
REGN,MRK,5,0.8391480297458976
REGN,MRK,15,0.8267213098784978
REGN,MRK,25,0.8134741253262064
MRK,TGT,5,0.7696784791735484
MRK,TGT,15,0.7682314386206048
MRK,TGT,25,0.7431283455838216
TGT,MRK,5,0.7889891001407274
TGT,MRK,15,0.7812737434233795
TGT,MRK,25,0.7522917178397951
BDX,MRK,5,0.8123469486180916
BDX,MRK,15,0.8529334602874165
BDX,MRK,25,0.8292713839348168
MRK,FDX,5,0.8816350852107598
MRK,FDX,15,0.8289193764961172
MRK,FDX,25,0.7850970620523264
FDX,MRK,5,0.8207998514041739
FDX,MRK,15,0.7462104694100625
ORCL,CSCO,5,0.8020882756366748
ORCL,CSCO,15,0.78107837892251
ORCL,CSCO,25,0.7757312874451276
CSCO,ORCL,5,0.808090214900319
CSCO,ORCL,15,0.7384505582023349
INTC,ORCL,5,0.7336388312229581
INTC,ORCL,15,0.7497516642820725
INTC,ORCL,25,0.7133687182439118
NEE,ORCL,5,0.7219441183016758
NEE,ORCL,15,0.7704317987951391
ORCL,AMD,5,0.8383858684311758
ORCL,AMD,15,0.7915294062561038
ORCL,AMD,25,0.7366827701499338
AMD,ORCL,5,0.8803827785920395
AMD,ORCL,15,0.9053840442747222
AMD,ORCL,25,0.8539175464876759
ORCL,CAT,5,0.8709469405025902
ORCL,CAT,15,0.7917932604627371
CAT,ORCL,5,0.9247071446270588
CAT,ORCL,15,0.9058118147316347
CAT,ORCL,25,0.8519841696804898
ORCL,MS,5,0.8959782533845071
ORCL,MS,15,0.834314198661643
ORCL,MS,25,0.7313141192280436
MS,ORCL,5,0.9021656231655428
MS,ORCL,15,0.8175572164916871
MS,ORCL,25,0.7695821454082756
ORCL,GS,5,0.9193344501477868
ORCL,GS,15,0.8668247648383894
ORCL,GS,25,0.7908085111733721
GS,ORCL,5,0.9205399108572436
GS,ORCL,15,0.8358048002043253
